,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,19.42,86,64,7.88,ZA,1676516299
1,kyrylivka,46.3759,35.3675,-2.07,85,97,5.08,UA,1676516300
2,naryan-mar,67.6713,53.087,-4.78,92,100,8.96,RU,1676516301
3,provideniya,64.3833,-173.3,-24.8,64,40,6.0,RU,1676516302
4,husavik,66.0449,-17.3389,-1.94,86,100,3.84,IS,1676516302
5,ushuaia,-54.8,-68.3,3.81,81,100,7.72,AR,1676516303
6,rikitea,-23.1203,-134.9692,26.27,70,100,2.62,PF,1676516304
7,flinders,-34.5833,150.8552,29.54,61,85,2.24,AU,1676516304
8,capitan bado,-23.2667,-55.5333,21.48,88,100,2.05,PY,1676516304
9,carnarvon,-24.8667,113.6333,26.04,56,0,7.44,AU,1676516180
10,itumbiara,-18.4192,-49.2153,23.17,83,96,0.49,BR,1676516173
11,punta arenas,-53.15,-70.9167,5.06,56,20,7.2,CL,1676516151
12,arraial do cabo,-22.9661,-42.0278,24.29,94,100,5.46,BR,1676516305
13,hithadhoo,-0.6,73.0833,27.22,79,30,5.09,MV,1676516307
14,kapaa,22.0752,-159.319,23.18,81,40,6.17,US,1676516307
15,upernavik,72.7868,-56.1549,-24.68,74,100,4.44,GL,1676516307
16,maniitsoq,65.4167,-52.9,-8.13,90,100,8.3,GL,1676516308
17,napasar,27.9667,73.55,21.94,18,48,0.18,IN,1676516309
18,jamestown,42.097,-79.2353,10.01,65,0,7.2,US,1676516309
19,mataura,-46.1927,168.8643,14.71,47,100,2.0,NZ,1676516310
20,bluff,-46.6,168.3333,14.89,67,93,3.7,NZ,1676516310
21,worthington,40.0931,-83.018,14.97,66,0,1.54,US,1676516310
22,linxia,35.6003,103.2064,-1.81,77,24,1.06,CN,1676516311
23,tiksi,71.6872,128.8694,-24.26,97,100,3.23,RU,1676516027
24,cherskiy,68.75,161.3,-38.22,97,63,1.69,RU,1676516112
25,trabzon,40.9167,39.8333,0.05,75,75,1.54,TR,1676516312
26,busselton,-33.65,115.3333,21.8,56,64,3.75,AU,1676516103
27,hermanus,-34.4187,19.2345,18.22,85,47,7.68,ZA,1676516028
28,kota kinabalu,5.9749,116.0724,28.99,79,20,2.06,MY,1676516312
29,tuktoyaktuk,69.4541,-133.0374,-35.0,75,20,4.12,CA,1676516313
30,banda aceh,5.5577,95.3222,27.89,72,55,4.7,ID,1676516313
