City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,79.45,68,100,4.99,PF,2023-02-14 02:33:14
1,Saint-Philippe,-21.3585,55.7679,74.79,89,47,12.1,RE,2023-02-14 02:33:15
2,Jamestown,42.097,-79.2353,35.24,83,0,11.5,US,2023-02-14 02:32:50
3,Yellowknife,62.456,-114.3525,-15.45,76,75,9.22,CA,2023-02-14 02:33:16
4,Busselton,-33.65,115.3333,75.72,46,0,14.03,AU,2023-02-14 02:33:16
5,Lebu,-37.6167,-73.65,56.93,88,83,5.77,CL,2023-02-14 02:33:17
6,Bereznik,62.8551,42.7072,23.22,98,100,3.24,RU,2023-02-14 02:33:17
7,Albany,42.6001,-73.9662,43.57,56,100,1.01,US,2023-02-14 02:33:17
8,Dudinka,69.4058,86.1778,7.63,94,100,19.53,RU,2023-02-14 02:33:18
9,Chulman,56.8479,124.9104,-20.79,92,84,1.3,RU,2023-02-14 02:33:18
10,Bredasdorp,-34.5322,20.0403,67.68,91,0,2.62,ZA,2023-02-14 02:33:19
11,Butaritari,3.0707,172.7902,81.7,70,100,14.34,KI,2023-02-14 02:33:20
12,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,40,13.8,CA,2023-02-14 02:33:20
13,Ushuaia,-54.8,-68.3,40.66,87,100,5.75,AR,2023-02-14 02:32:09
14,Punta Arenas,-53.15,-70.9167,44.71,76,20,17.27,CL,2023-02-14 02:30:30
15,Atuona,-9.8,-139.0333,79.43,79,3,18.14,PF,2023-02-14 02:33:21
16,Kodiak,57.79,-152.4072,24.31,50,0,3.44,US,2023-02-14 02:33:21
17,Ternate,0.8,127.4,81.0,83,100,16.58,ID,2023-02-14 02:33:22
18,Ucluelet,48.9329,-125.5528,41.09,72,13,5.99,CA,2023-02-14 02:33:22
19,Puerto Ayora,-0.7393,-90.3518,78.55,92,37,1.01,EC,2023-02-14 02:30:04
20,Autazes,-3.5797,-59.1306,74.55,97,92,2.26,BR,2023-02-14 02:33:22
21,Pangnirtung,66.1451,-65.7125,-33.18,92,67,3.87,CA,2023-02-14 02:33:23
22,Jalu,29.0331,21.5482,52.83,59,90,8.3,LY,2023-02-14 02:33:23
23,Hobart,-42.8794,147.3294,72.05,48,75,6.91,AU,2023-02-14 02:33:24
24,Brae,60.3964,-1.353,43.75,90,87,14.47,GB,2023-02-14 02:33:24
25,Phalaborwa,-23.943,31.1411,74.48,95,100,8.14,ZA,2023-02-14 02:33:25
26,Cape Town,-33.9258,18.4232,71.89,89,75,8.01,ZA,2023-02-14 02:33:25
27,Alice Springs,-23.7,133.8833,94.55,40,0,17.27,AU,2023-02-14 02:31:34
28,Vila Franca Do Campo,37.7167,-25.4333,50.41,62,4,15.17,PT,2023-02-14 02:33:26
29,Bambous Virieux,-20.3428,57.7575,77.25,88,75,8.05,MU,2023-02-14 02:33:26
30,Stromness,58.965,-3.296,37.36,81,12,11.52,GB,2023-02-14 02:33:26
31,Kahului,20.8947,-156.47,78.82,75,40,16.11,US,2023-02-14 02:33:27
32,Mar Del Plata,-38.0023,-57.5575,69.1,88,0,2.3,AR,2023-02-14 02:30:21
33,Hermanus,-34.4187,19.2345,65.8,92,0,4.97,ZA,2023-02-14 02:33:28
34,Pocosol,10.3667,-84.6167,73.29,93,72,7.58,CR,2023-02-14 02:33:28
35,Wilmington,34.2257,-77.9447,53.85,75,0,4.61,US,2023-02-14 02:33:28
36,Esperance,-33.8667,121.9,86.49,39,64,6.82,AU,2023-02-14 02:33:29
37,Bengkulu,-3.8004,102.2655,82.13,67,74,5.95,ID,2023-02-14 02:33:29
38,Yar-Sale,66.8333,70.8333,-0.22,100,93,8.63,RU,2023-02-14 02:33:29
39,Mataura,-46.1927,168.8643,80.49,24,0,3.38,NZ,2023-02-14 02:33:30
40,Hilo,19.7297,-155.09,76.73,78,40,12.66,US,2023-02-14 02:33:30
41,Qaqortoq,60.7167,-46.0333,-1.91,82,40,3.89,GL,2023-02-14 02:33:30
42,Syracuse,37.0881,15.2792,42.31,76,47,8.03,IT,2023-02-14 02:32:57
43,Bluff,-46.6,168.3333,64.72,71,4,10.96,NZ,2023-02-14 02:33:31
44,Nikolskoye,59.7035,30.7861,33.78,82,99,13.47,RU,2023-02-14 02:33:31
45,Vaini,-21.2,-175.2,78.96,94,100,5.75,TO,2023-02-14 02:33:32
46,Richards Bay,-28.783,32.0377,73.71,96,20,5.35,ZA,2023-02-14 02:34:32
47,Qaanaaq,77.484,-69.3632,-24.14,63,80,5.75,GL,2023-02-14 02:34:32
48,Upernavik,72.7868,-56.1549,-28.1,93,35,3.6,GL,2023-02-14 02:34:33
49,Tasiilaq,65.6145,-37.6368,28.56,95,100,5.44,GL,2023-02-14 02:34:33
50,Chernyshevskiy,63.0128,112.4714,-7.82,99,100,1.97,RU,2023-02-14 02:34:34
51,Kapaa,22.0752,-159.319,76.1,78,40,18.41,US,2023-02-14 02:34:34
52,Faanui,-16.4833,-151.75,82.24,74,13,11.7,PF,2023-02-14 02:34:34
53,Ilulissat,69.2167,-51.1,-37.03,83,11,5.1,GL,2023-02-14 02:34:35
54,Saint-Augustin,51.226,-58.6502,-1.53,91,87,8.23,CA,2023-02-14 02:34:35
55,Guerrero Negro,27.9769,-114.0611,58.42,74,0,14.67,MX,2023-02-14 02:30:04
56,Norman Wells,65.282,-126.8329,-11.16,77,100,17.27,CA,2023-02-14 02:34:36
57,Clyde River,70.4692,-68.5914,-36.17,67,75,4.61,CA,2023-02-14 02:34:36
58,Leningradskiy,69.3833,178.4167,-24.18,96,100,9.17,RU,2023-02-14 02:34:36
59,Sechenovo,55.2244,45.8906,15.4,94,100,10.76,RU,2023-02-14 02:34:37
60,Sitka,57.0531,-135.33,31.89,80,100,4.61,US,2023-02-14 02:34:37
61,Carnarvon,-24.8667,113.6333,82.38,59,3,16.75,AU,2023-02-14 02:34:37
62,Marawi,7.9986,124.2928,74.52,86,100,2.3,PH,2023-02-14 02:34:38
63,Turbat,26.0023,63.044,66.85,44,99,1.32,PK,2023-02-14 02:34:39
64,Gat,31.61,34.7642,46.4,65,0,5.55,IL,2023-02-14 02:34:00
65,Dikson,73.5069,80.5464,5.54,95,100,16.2,RU,2023-02-14 02:34:39
66,Olafsvik,64.8945,-23.7142,40.44,78,100,29.66,IS,2023-02-14 02:34:40
67,New Norfolk,-42.7826,147.0587,71.71,32,42,1.34,AU,2023-02-14 02:34:40
68,Cerrito,6.8432,-72.694,55.0,91,100,3.36,CO,2023-02-14 02:34:40
69,Thompson,55.7435,-97.8558,14.16,85,100,8.05,CA,2023-02-14 02:34:41
70,Tashtagol,52.7657,87.8894,9.1,96,100,0.78,RU,2023-02-14 02:34:41
71,Luderitz,-26.6481,15.1594,63.01,72,1,9.75,NA,2023-02-14 02:34:42
72,Castro,-24.7911,-50.0119,64.04,95,58,3.06,BR,2023-02-14 02:34:42
73,Tautira,-17.7333,-149.15,80.6,79,17,11.05,PF,2023-02-14 02:34:42
74,Aksu,41.1231,80.2644,29.7,57,79,1.92,CN,2023-02-14 02:34:43
75,Inhambane,-23.865,35.3833,77.76,91,54,9.46,MZ,2023-02-14 02:34:43
76,Fairbanks,64.8378,-147.7164,-0.06,75,75,0.0,US,2023-02-14 02:30:49
